otu_id	assignment
denovo11223	Prevotella_oralis
denovo11225	Prevotella_veroralis
denovo11226	Staphylococcus_aureus_subsp._anaerobius
denovo11230	Porphyromonas_gingivalis
denovo11235	Pedobacter_tournemirensis
denovo11237	Treponema_medium
denovo11238	Prevotella_jejuni
denovo11239	Granulicatella_adiacens
denovo1124	Streptococcus_constellatus_subsp._constellatus
denovo11245	Leptotrichia_wadei
denovo11246	Fusobacterium_nucleatum_subsp._vincentii
denovo11247	Helcococcus_sueciensis
denovo11248	Fusobacterium_nucleatum_subsp._polymorphum
denovo11250	Streptococcus_pseudopneumoniae
denovo11251	Streptococcus_anginosus_subsp._whileyi
denovo11252	Dialister_pneumosintes
denovo11253	Streptococcus_parasanguinis
denovo11254	Streptococcus_parasanguinis
denovo11255	Porphyromonas_gingivalis
denovo11257	Lactobacillus_fermentum
denovo11258	Veillonella_parvula
denovo11259	Promicromonospora_flava
denovo11260	Porphyromonas_catoniae
denovo11261	Prevotella_denticola
denovo11263	Methylocystis_echinoides
denovo11264	Streptococcus_parasanguinis
denovo11265	Streptococcus_mitis
denovo11268	Prevotella_denticola
denovo11269	Actinomyces_cardiffensis
denovo11270	Capnocytophaga_leadbetteri
denovo11271	Streptococcus_infantis
denovo11273	Rothia_mucilaginosa
denovo11274	Leuconostoc_citreum
denovo11276	Veillonella_tobetsuensis
denovo11277	Prevotella_loescheii
denovo11278	Eubacterium_sulci
denovo11279	Allisonella_histaminiformans
denovo1128	Streptococcus_lactarius
denovo11284	Actinomyces_oris
denovo11286	Streptococcus_alactolyticus
denovo11287	Lactobacillus_gasseri
denovo11288	Actinomyces_meyeri
denovo11291	Prevotella_salivae
denovo11292	Streptococcus_peroris
denovo11293	Streptococcus_gallinaceus
denovo11295	Skermanella_stibiiresistens
denovo11296	Oceanibaculum_pacificum
denovo11297	Actinomyces_vaccimaxillae
denovo11299	Chryseobacterium_jeonii
denovo113	Selenomonas_artemidis
denovo1130	Parvimonas_micra
denovo11303	Prevotella_denticola
denovo11305	Prevotella_melaninogenica
